SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_1,adm2_7,adm2_2,adm2_4,adm2_10,adm2_9,adm2_3,adm2_5,adm2_6,adm2_11,adm2_8
5,4713,2,70,13,296,173,10.13,5.73,0,1,1,0,0,0,0,0,0,0,0,0,0
6,3753,2,43,21,2550,184,19.660000000000004,6.81,0,7,0,1,0,0,0,0,0,0,0,0,0
29,3924,2,25,2,3,112,10.5,8.85,0,1,1,0,0,0,0,0,0,0,0,0,0
36,4131,2,18,18,180,295,9.84,6.6099999999999985,0,7,0,1,0,0,0,0,0,0,0,0,0
42,591,1,25,23,82,169,11.9,7.6899999999999995,0,2,0,0,1,0,0,0,0,0,0,0,0
72,4590,2,55,9,119,325,13.180000000000001,9.11,0,4,0,0,0,1,0,0,0,0,0,0,0
82,9307,1,40,29,9,125,11.489999999999998,7.44,0,4,0,0,0,1,0,0,0,0,0,0,0
98,3972,2,35,17,15,177,8.079999999999998,6.029999999999999,0,10,0,0,0,0,1,0,0,0,0,0,0
102,7677,2,30,13,2215,134,13.819999999999999,7.19,0,9,0,0,0,0,0,1,0,0,0,0,0
103,10684,1,53,22,178,288,11.11,8.8,0,2,0,0,1,0,0,0,0,0,0,0,0
145,10220,1,51,30,2049,273,33.57,7.91,0,3,0,0,0,0,0,0,1,0,0,0,0
160,10839,1,22,12,46,148,9.740000000000002,7.1000000000000005,0,5,0,0,0,0,0,0,0,1,0,0,0
185,7133,2,50,29,58,261,16.110000000000003,11.04,0,4,0,0,0,1,0,0,0,0,0,0,0
213,8918,1,38,3,4338,246,19.480000000000004,10.679999999999998,0,7,0,1,0,0,0,0,0,0,0,0,0
275,5074,2,21,10,2814,146,11.01,6.68,0,9,0,0,0,0,0,1,0,0,0,0,0
281,5285,2,35,17,62,173,7.319999999999999,7.07,0,4,0,0,0,1,0,0,0,0,0,0,0
287,284,2,43,17,144,341,16.229999999999997,9.88,0,4,0,0,0,1,0,0,0,0,0,0,0
293,7817,2,62,24,110,330,16.1,11.269999999999998,0,2,0,0,1,0,0,0,0,0,0,0,0
297,850,2,19,19,39,201,13.749999999999998,10.44,0,7,0,1,0,0,0,0,0,0,0,0,0
306,8598,2,26,2,54,712,11.280000000000001,6.9399999999999995,0,1,1,0,0,0,0,0,0,0,0,0,0
322,2093,1,36,29,23,211,11.83,6.97,0,6,0,0,0,0,0,0,0,0,1,0,0
324,9928,2,19,29,23,99,6.17,6.469999999999999,0,6,0,0,0,0,0,0,0,0,1,0,0
393,1056,2,50,2,4843,206,11.54,12,0,9,0,0,0,0,0,1,0,0,0,0,0
404,5187,1,30,16,85,237,12.26,8.620000000000001,0,11,0,0,0,0,0,0,0,0,0,1,0
417,412,1,40,17,7,128,8.6,7.539999999999999,0,10,0,0,0,0,1,0,0,0,0,0,0
421,10277,2,65,30,61,245,13.76,9.27,0,6,0,0,0,0,0,0,0,0,1,0,0
436,10523,2,55,23,88,183,13.720000000000002,6.509999999999999,0,11,0,0,0,0,0,0,0,0,0,1,0
453,7148,2,30,27,64,159,10.049999999999999,8.909999999999998,0,5,0,0,0,0,0,0,0,1,0,0,0
454,4463,2,28,22,100,183,12.189999999999998,8.53,0,2,0,0,1,0,0,0,0,0,0,0,0
475,222,1,48,19,7,152,12.02,10.139999999999999,0,8,0,0,0,0,0,0,0,0,0,0,1
483,5368,2,29,25,23,107,6.67,6.930000000000001,0,5,0,0,0,0,0,0,0,1,0,0,0
518,705,2,50,23,369,119,17.76,7.289999999999999,0,8,0,0,0,0,0,0,0,0,0,0,1
526,648,2,35,18,227,137,9.9,6.9399999999999995,0,8,0,0,0,0,0,0,0,0,0,0,1
535,6358,1,20,22,20,139,13.16,7.45,0,1,1,0,0,0,0,0,0,0,0,0,0
556,2743,1,18,27,118,182,9.49,7.43,0,3,0,0,0,0,0,0,1,0,0,0,0
561,8988,2,24,25,1422,137,32.39,7.42,0,2,0,0,1,0,0,0,0,0,0,0,0
639,3222,1,65,25,2,40,6.21,3.01,0,6,0,0,0,0,0,0,0,0,1,0,0
648,6368,2,19,26,1146,299,18.25,10.87,0,2,0,0,1,0,0,0,0,0,0,0,0
653,2518,1,55,9,38,188,9.43,7.140000000000001,0,3,0,0,0,0,0,0,1,0,0,0,0
662,9184,1,65,24,37,305,12.75,9.62,0,5,0,0,0,0,0,0,0,1,0,0,0
671,2755,2,45,6,197,125,15.069999999999999,7.4399999999999995,0,10,0,0,0,0,1,0,0,0,0,0,0
690,5162,1,65,24,9,192,8.719999999999999,8.379999999999999,0,2,0,0,1,0,0,0,0,0,0,0,0
691,4668,1,35,2,58,175,16.39,9.209999999999999,0,1,1,0,0,0,0,0,0,0,0,0,0
702,4014,2,50,12,63,230,10.940000000000001,9.910000000000002,0,5,0,0,0,0,0,0,0,1,0,0,0
723,3896,1,36,10,646,80,17.249999999999996,7.0600000000000005,0,3,0,0,0,0,0,0,1,0,0,0,0
725,4044,2,30,25,66,201,15.19,9.23,0,6,0,0,0,0,0,0,0,0,1,0,0
726,865,1,35,15,105,246,10.889999999999999,8.049999999999999,0,11,0,0,0,0,0,0,0,0,0,1,0
732,356,2,45,13,69,221,11.9,7.999999999999999,0,5,0,0,0,0,0,0,0,1,0,0,0
749,4343,1,35,18,20,170,10.93,8.66,0,4,0,0,0,1,0,0,0,0,0,0,0
795,8309,1,58,24,14,187,18.049999999999997,12.979999999999999,0,11,0,0,0,0,0,0,0,0,0,1,0
796,9506,1,40,8,91,126,6.64,6.61,0,3,0,0,0,0,0,0,1,0,0,0,0
798,4683,1,68,24,152,267,16.73,11.940000000000001,0,5,0,0,0,0,0,0,0,1,0,0,0
812,1055,1,50,29,78,243,13.689999999999998,8.999999999999998,0,4,0,0,0,1,0,0,0,0,0,0,0
823,1971,2,55,4,3859,125,11.469999999999999,6.52,0,10,0,0,0,0,1,0,0,0,0,0,0
825,10223,1,38,18,94,134,8.84,7,0,9,0,0,0,0,0,1,0,0,0,0,0
827,10532,2,40,27,5,911,10.84,6.789999999999999,0,1,1,0,0,0,0,0,0,0,0,0,0
830,62,1,48,17,36,260,13.03,9.549999999999999,0,1,1,0,0,0,0,0,0,0,0,0,0
869,10106,2,52,23,25,208,13.649999999999997,10.88,0,6,0,0,0,0,0,0,0,0,1,0,0
889,4600,2,42,17,4014,157,13.530000000000001,7.91,0,10,0,0,0,0,1,0,0,0,0,0,0
913,5535,2,45,7,1035,80,6.66,6.64,1,10,0,0,0,0,1,0,0,0,0,0,0
919,2784,1,22,21,46,119,7.2,6.69,0,8,0,0,0,0,0,0,0,0,0,0,1
930,8012,2,35,17,2218,199,15.789999999999997,8.75,0,10,0,0,0,0,1,0,0,0,0,0,0
943,11418,1,30,10,1303,129,8.559999999999999,4.56,0,9,0,0,0,0,0,1,0,0,0,0,0
954,3275,1,21,28,1996,391,42.760000000000005,13.629999999999999,0,3,0,0,0,0,0,0,1,0,0,0,0
964,927,2,45,18,279,172,13.219999999999999,8.069999999999999,0,9,0,0,0,0,0,1,0,0,0,0,0
965,6369,2,45,16,703,147,10.969999999999999,8.43,0,11,0,0,0,0,0,0,0,0,0,1,0
1006,8426,1,54,21,190,271,16.05,11.73,0,5,0,0,0,0,0,0,0,1,0,0,0
1026,10067,2,42,10,2719,113,11.229999999999999,6.91,0,9,0,0,0,0,0,1,0,0,0,0,0
1048,9910,2,42,19,1464,141,22.8,6.959999999999999,0,8,0,0,0,0,0,0,0,0,0,0,1
1078,3442,1,37,20,15,125,10.77,7.38,0,9,0,0,0,0,0,1,0,0,0,0,0
